Response ID,Status,What is your gender?,What is your current age?,Where do you live?,"In your opinion, which sport is Australia’s national sport?","Other (please specify):In your opinion, which sport is Australia’s national sport?",Which of the following best describes your current relationship status?*,Which best describes your current work status?,What is the highest level of education you have achieved so far?
9,Complete,Female,18-24 years,VIC,Other (please specify),Unsure,Single,Not currently employed,Year/Grade 10 (or equivalent) or lower
10,Complete,Male,55-64 years,QLD,Cricket,,Single,Retired,TAFE qualification
11,Complete,Male,18-24 years,VIC,Australian Rules Football (AFL),,Single,Not currently employed,Undergraduate or Bachelor Degree
12,Complete,Male,65+ years,QLD,Cricket,,Separated,Retired,Diploma and advanced Diploma
13,Complete,Male,65+ years,NSW,Cricket,,Married,Retired,Year/Grade 12 or equivalent
14,Complete,Female,35-44 years,VIC,Cricket,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
15,Complete,Female,55-64 years,QLD,Australian Rules Football (AFL),,Married,Self-employed,Year/Grade 12 or equivalent
16,Complete,Female,55-64 years,VIC,Tennis,,Divorced,Self-employed,Undergraduate or Bachelor Degree
17,Complete,Female,25-34 years,NSW,Swimming,,In a relationship,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
18,Complete,Female,35-44 years,QLD,Rugby League (NRL),,Married,Homemaker,TAFE qualification
19,Complete,Female,25-34 years,VIC,Australian Rules Football (AFL),,De facto / Lives with partner,"An employee on wages, salary or commission",Post Graduate Degree - Master's
20,Complete,Female,65+ years,VIC,Cricket,,Widowed,Retired,TAFE qualification
21,Complete,Male,65+ years,SA,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
22,Complete,Female,35-44 years,ACT,Cricket,,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
23,Complete,Female,45-54 years,NSW,Cricket,,Married,"An employee on wages, salary or commission",Post Graduate Degree - Master's
24,Complete,Female,35-44 years,VIC,Australian Rules Football (AFL),,De facto / Lives with partner,"An employee on wages, salary or commission",Diploma and advanced Diploma
25,Complete,Male,55-64 years,VIC,Australian Rules Football (AFL),,De facto / Lives with partner,"An employee on wages, salary or commission",Year/Grade 10 (or equivalent) or lower
26,Complete,Female,65+ years,NSW,Tennis,,Married,Retired,Undergraduate or Bachelor Degree
27,Complete,Female,25-34 years,NSW,Soccer,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
28,Complete,Male,45-54 years,QLD,Australian Rules Football (AFL),,Divorced,Not currently employed,Graduate Diploma/ Graduate Certificate
29,Complete,Female,35-44 years,NSW,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
30,Complete,Male,25-34 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
31,Complete,Male,35-44 years,NSW,Rugby League (NRL),,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
32,Complete,Male,35-44 years,WA,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
33,Complete,Male,35-44 years,NSW,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
34,Complete,Female,25-34 years,QLD,Rugby League (NRL),,Engaged,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
35,Complete,Male,65+ years,QLD,Australian Rules Football (AFL),,Married,Retired,Post Graduate Degree - Master's
36,Complete,Female,35-44 years,NSW,Swimming,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
37,Complete,Female,65+ years,QLD,Rugby League (NRL),,Married,"An employee on wages, salary or commission",TAFE qualification
38,Complete,Female,25-34 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Post Graduate Degree - Master's
39,Complete,Female,55-64 years,SA,Australian Rules Football (AFL),,De facto / Lives with partner,Homemaker,TAFE qualification
40,Complete,Male,35-44 years,VIC,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
41,Complete,Female,65+ years,QLD,Swimming,,Married,Self-employed,Year/Grade 12 or equivalent
42,Complete,Male,65+ years,VIC,Cricket,,Married,Retired,Year/Grade 12 or equivalent
43,Complete,Female,25-34 years,WA,Australian Rules Football (AFL),,De facto / Lives with partner,"An employee on wages, salary or commission",Post Graduate Degree - Master's
44,Complete,Female,65+ years,NSW,Rugby League (NRL),,Divorced,Retired,Diploma and advanced Diploma
45,Complete,Male,35-44 years,NSW,Soccer,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
46,Complete,Female,65+ years,NSW,Australian Rules Football (AFL),,Married,Retired,Diploma and advanced Diploma
47,Complete,Female,35-44 years,WA,Soccer,,Married,Self-employed,Undergraduate or Bachelor Degree
48,Complete,Female,35-44 years,VIC,Australian Rules Football (AFL),,Single,Homemaker,Undergraduate or Bachelor Degree
49,Complete,Female,45-54 years,QLD,Formula 1,,Married,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
50,Complete,Male,35-44 years,NSW,Rugby League (NRL),,De facto / Lives with partner,"An employee on wages, salary or commission",TAFE qualification
51,Complete,Female,35-44 years,VIC,Australian Rules Football (AFL),,Single,Not currently employed,Year/Grade 12 or equivalent
52,Complete,Male,45-54 years,VIC,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
53,Complete,Male,25-34 years,NSW,Rugby League (NRL),,De facto / Lives with partner,"An employee on wages, salary or commission",Post Graduate Degree - Master's
54,Complete,Female,35-44 years,NSW,Basketball,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
55,Complete,Male,65+ years,NSW,Rugby League (NRL),,Married,Retired,TAFE qualification
56,Complete,Male,45-54 years,NSW,Tennis,,Married,"An employee on wages, salary or commission",Post Graduate Degree - Master's
57,Complete,Female,25-34 years,QLD,Tennis,,Engaged,"An employee on wages, salary or commission",Post Graduate Degree - Master's
58,Complete,Female,25-34 years,SA,Australian Rules Football (AFL),,De facto / Lives with partner,Homemaker,Year/Grade 12 or equivalent
59,Complete,Female,35-44 years,SA,Swimming,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
60,Complete,Female,65+ years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Diploma and advanced Diploma
61,Complete,Female,18-24 years,QLD,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
62,Complete,Female,25-34 years,NSW,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
63,Complete,Male,45-54 years,NSW,Formula 1,,De facto / Lives with partner,"An employee on wages, salary or commission",Diploma and advanced Diploma
65,Complete,Female,55-64 years,QLD,Rugby Union,,Married,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
66,Complete,Male,65+ years,WA,Cricket,,Married,Retired,Undergraduate or Bachelor Degree
67,Complete,Male,45-54 years,NSW,Australian Rules Football (AFL),,Divorced,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
68,Complete,Female,25-34 years,VIC,Rugby Union,,Single,"An employee on wages, salary or commission",Post Graduate Degree - Master's
69,Complete,Male,45-54 years,TAS,Rugby League (NRL),,Single,Not currently employed,TAFE qualification
70,Complete,Male,65+ years,NSW,Cricket,,Single,Retired,Year/Grade 10 (or equivalent) or lower
71,Complete,Male,35-44 years,NSW,Soccer,,Married,"An employee on wages, salary or commission",Post Graduate Degree - Master's
72,Complete,Female,65+ years,SA,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
73,Complete,Male,55-64 years,NSW,Cricket,,De facto / Lives with partner,"An employee on wages, salary or commission",Post Graduate Degree - Master's
74,Complete,Male,65+ years,VIC,Cricket,,In a relationship,Retired,Year/Grade 10 (or equivalent) or lower
75,Complete,Female,25-34 years,NSW,Rugby League (NRL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
76,Complete,Female,55-64 years,VIC,Australian Rules Football (AFL),,Single,Retired,Diploma and advanced Diploma
77,Complete,Female,55-64 years,QLD,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
78,Complete,Female,45-54 years,QLD,Cricket,,Divorced,Self-employed,Undergraduate or Bachelor Degree
79,Complete,Female,45-54 years,ACT,Swimming,,Divorced,Retired,Post Graduate Degree - Master's
80,Complete,Female,25-34 years,VIC,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",TAFE qualification
82,Complete,Male,45-54 years,QLD,Australian Rules Football (AFL),,De facto / Lives with partner,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
83,Complete,Male,65+ years,VIC,Australian Rules Football (AFL),,Married,Retired,Year/Grade 12 or equivalent
84,Complete,Female,35-44 years,NSW,Rugby League (NRL),,De facto / Lives with partner,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
85,Complete,Male,45-54 years,NSW,Rugby Union,,Married,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
86,Complete,Male,65+ years,NSW,Australian Rules Football (AFL),,Divorced,Retired,Undergraduate or Bachelor Degree
87,Complete,Male,45-54 years,VIC,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
88,Complete,Female,45-54 years,QLD,Rugby Union,,Married,"An employee on wages, salary or commission",TAFE qualification
89,Complete,Male,35-44 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Post Graduate Degree - Master's
90,Complete,Female,45-54 years,TAS,Cricket,,Single,"An employee on wages, salary or commission",TAFE qualification
91,Complete,Male,65+ years,VIC,Cricket,,Married,Retired,Year/Grade 10 (or equivalent) or lower
92,Complete,Female,45-54 years,NSW,Cricket,,Married,"An employee on wages, salary or commission",Diploma and advanced Diploma
93,Complete,Male,35-44 years,NSW,Australian Rules Football (AFL),,Married,Self-employed,Post Graduate Degree - Master's
94,Complete,Male,45-54 years,QLD,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
95,Complete,Male,55-64 years,SA,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
96,Complete,Female,45-54 years,SA,Australian Rules Football (AFL),,Married,Retired,Year/Grade 12 or equivalent
